symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
MCHP,2019-10-18,,,,,,,4.554999999999993,53.7206001163529,44.56653055150584,93.57050649438816,69.83471074380157,1.5060619030326166,-0.7158532762044124,95.005,95.67,93.17,95.57,1398375,95.005,95.67,93.17,95.57,1398375
MCHP,2019-10-17,,,,,,0.0,3.200000000000003,50.90888989634417,0.0,93.47717763297852,77.92207792207788,1.3563228162049086,-0.40591174021648685,95.69,97.56,95.25,97.13,1066140,95.69,97.56,95.25,97.13,1066140
MCHP,2019-10-16,,,,,,0.0,2.510000000000005,49.60480314173729,41.535486426325875,93.39787091864915,84.52237001209187,1.4398498539569573,-0.7540543332300423,96.08,97.36,95.93,96.6,1327888,96.08,97.36,95.93,96.6,1327888
MCHP,2019-10-15,,,,,,0.0,3.049999999999997,50.55915486595965,54.58127989331083,93.20803234121075,93.68932038834956,1.493237379774257,1.1810200668896274,96.81,97.33,95.15,96.21,1614478,96.81,97.33,95.15,96.21,1614478
MCHP,2019-10-14,,,,,,1.0,1.230000000000004,52.59159642872489,0.0,92.89090973764215,84.86799742434002,1.5233036525624613,0.16750418760470143,95.68,95.79,94.32,94.98,1091812,95.68,95.79,94.32,94.98,1091812
MCHP,2019-10-11,,,,,0.0,1.0,0.519999999999996,56.368338205523344,51.52616870067379,92.67499744225631,82.80746941403724,1.6704322815401724,3.3654366410561622,95.52,96.855,93.68,94.15,2886348,95.52,96.855,93.68,94.15,2886348
MCHP,2019-10-10,,,,,1.0,1.0,-3.0600000000000023,54.96705346576137,51.079153551464046,92.41958817265274,47.496423462088636,1.5601209100571793,1.3378659940782969,92.41,93.17,91.17,91.54,1772207,92.41,93.17,91.17,91.54,1772207
MCHP,2019-10-09,,,,,1.0,1.0,-4.230000000000004,52.37806058977584,100.0,92.31362385625249,27.44739249771266,1.5207906932737245,2.127897860902667,91.19,91.66,90.22,90.62,1493024,91.19,91.66,90.22,90.62,1493024
MCHP,2019-10-08,,,,,1.0,1.0,-3.279999999999987,54.32061701581858,50.11623633903505,92.28304248600209,2.614037380734583,1.453042859327482,-3.3030106129521304,89.29,91.39,89.09,91.19,2045577,89.29,91.39,89.09,91.19,2045577
MCHP,2019-10-07,,,,,1.0,0.0,0.46999999999999886,56.4286300702347,50.89797178763532,92.36722814243734,41.483845233346685,1.447709360349407,-1.4934926392148407,92.34,94.0,92.24,93.5,2329145,92.34,94.0,92.24,93.5,2329145
MCHP,2019-10-04,,,,1.0,1.0,0.0,3.219999999999999,57.167464852875156,53.16059601499647,92.20473910697062,60.09839117138672,1.313111301740065,2.2246455834242007,93.74,93.79,92.0,92.52,1637070,93.74,93.79,92.0,92.52,1637070
MCHP,2019-10-03,,,,1.0,1.0,1.0,2.8700000000000045,56.632019093825356,40.6493244516919,91.80379912387845,37.503099429704996,1.1717256404123333,1.281201678815989,91.7,92.21,89.38,90.65,2378268,91.7,92.21,89.38,90.65,2378268
MCHP,2019-10-02,,,,1.0,1.0,1.0,4.02000000000001,58.849633765491255,51.70813396221686,91.56410893955152,30.411850521827038,1.3083021708008147,-2.5613430908308175,90.54,92.16,90.22,91.9,1638844,90.54,92.16,90.22,91.9,1638844
MCHP,2019-10-01,,,,1.0,0.0,0.0,8.030000000000001,62.96826125460131,42.559683099054965,91.55609490193535,72.99837467316797,1.3355355334908552,0.010763104079221953,92.92,96.08,92.36,94.87,2686675,92.92,96.08,92.36,94.87,2686675
MCHP,2019-09-30,,,,1.0,0.0,1.0,6.579999999999998,63.50444226429511,39.20253339108432,91.40022386198798,72.92770828916682,1.0367866412302789,1.7745645744331144,92.91,93.35,91.3,91.52,1478164,92.91,93.35,91.3,91.52,1478164
MCHP,2019-09-27,,,,1.0,1.0,1.0,4.720000000000013,65.10208938534257,43.78992340810316,91.24653851690512,61.47975408098372,0.5246090626984312,-1.169210782721661,91.29,93.13,90.66,92.25,1506598,91.29,93.13,90.66,92.25,1506598
MCHP,2019-09-26,,,,1.0,0.0,0.0,7.490000000000009,65.85169615580647,43.62039743899907,91.16194083069637,69.11172355310582,0.06479808336150938,-0.6880980539726916,92.37,93.13,91.36,93.13,2879486,92.37,93.13,91.36,93.13,2879486
MCHP,2019-09-25,,,,0.0,0.0,0.0,8.66000000000001,63.789389118677555,42.67583225217553,90.94641030558535,73.63437212917819,-0.3917661038775293,2.614739629302741,93.01,93.33,89.22,90.19,1783423,93.01,93.33,89.22,90.19,1783423
MCHP,2019-09-24,,,,0.0,1.0,1.0,5.909999999999997,63.79198543644885,44.275804405971954,90.71136535536921,56.88643912091018,-0.7101982407531864,-1.3925152306353363,90.64,92.59,89.94,92.28,1427416,90.64,92.59,89.94,92.28,1427416
MCHP,2019-09-23,,,,1.0,1.0,0.0,7.340000000000003,63.22082234730098,42.406521432257264,90.95693108590217,65.93173627305491,-0.5563499165637609,1.6252072968490865,91.92,92.69,90.065,90.29,2013236,91.92,92.69,90.065,90.29,2013236
MCHP,2019-09-20,,,1.0,1.0,1.0,1.0,0.8700000000000045,52.38121393463611,42.76740798333238,91.02434756439014,55.54377782488871,-0.5334261606919455,-2.2056438533895473,90.45,93.25,90.32,92.44,2763701,90.45,93.25,90.32,92.44,2763701
MCHP,2019-09-19,,,1.0,0.0,0.0,0.0,3.469999999999999,52.93073709030754,44.55554412718889,91.30527084256671,69.95972016111931,-0.19049761941114696,-1.1542160949022104,92.49,94.0,92.35,93.68,1343659,92.49,94.0,92.35,93.68,1343659
MCHP,2019-09-18,,,1.0,0.0,0.0,0.0,4.679999999999993,50.78801726690044,46.38203100842507,91.1996911814594,77.59168963324142,-0.05663715613171405,-0.20264505119455198,93.57,93.98,92.2,93.73,1950251,93.57,93.98,92.2,93.73,1950251
MCHP,2019-09-17,,,1.0,0.0,0.0,0.0,3.710000000000008,48.2075054970983,47.085046860824534,90.91524612828866,78.93435092926299,0.12234377731790858,-0.7305452620434068,93.76,94.116,92.6477,93.69,1299306,93.76,94.116,92.6477,93.69,1299306
MCHP,2019-09-16,,,1.0,0.0,0.0,0.0,6.070000000000007,47.46182250149436,54.372448214338974,90.53688962046658,83.81033142534098,0.018301799436088118,-0.5789473684210497,94.45,95.0,93.22,93.81,1156572,94.45,95.0,93.22,93.81,1156572
MCHP,2019-09-13,,,1.0,0.0,0.0,0.0,8.159999999999997,45.64000972865418,0.0,89.98295228807858,87.69698254540315,-0.20350943453357218,-0.4923012464648569,95.0,95.97,94.94,95.92,1535587,95.0,95.97,94.94,95.92,1535587
MCHP,2019-09-12,,,0.0,0.0,0.0,0.0,8.560000000000002,46.711736807853214,54.72946567993453,89.53728254613462,91.01830259345628,-0.33829905453134756,0.05239991616013116,95.47,96.741,94.4503,96.43,2781716,95.47,96.741,94.4503,96.43,2781716
MCHP,2019-09-11,,,0.0,0.0,0.0,1.0,5.040000000000006,43.771872408995556,54.66224524194107,88.91738443824336,99.84435797665373,-0.6528504839029807,3.078751215296542,95.42,95.44,91.81,92.91,2750963,95.42,95.44,91.81,92.91,2750963
MCHP,2019-09-10,,,0.0,0.0,1.0,1.0,5.269999999999996,44.34615419153381,54.62956054155868,88.30628442136324,91.47571035747013,-1.0024996866043523,0.7619462283661572,92.57,92.62,90.8,91.22,1906776,92.57,92.62,90.8,91.22,1906776
MCHP,2019-09-09,,,1.0,1.0,1.0,1.0,4.02000000000001,47.507406619546956,55.57404767306926,87.8591789024404,85.05957836846933,-1.2427046834928888,1.4913831197525504,91.87,93.5,90.92,91.09,2806263,91.87,93.5,90.92,91.09,2806263
MCHP,2019-09-06,,,1.0,0.0,1.0,1.0,-0.28000000000000114,45.284690426877134,50.41202675688686,87.47605046722532,93.51415094339626,-1.3402978168596889,1.9025104131487085,90.52,90.93,88.675,89.16,3013815,90.52,90.93,88.675,89.16,3013815
