date,PMO,RSI,EMA,SO,MACD,change,open,high,low,close,adjClose
2019-10-15,203.73000000000047,45.494376055269576,4789.400625901627,96.12623870274042,-11.328978799496326,1.6374085511865766,4862.96,4936.89,4862.02,4923.56,4923.56
2019-10-14,72.55999999999949,46.146846111103045,4763.637627465788,85.05039572481911,-24.624236154942082,0.04626187525815328,4835.49,4853.02,4825.67,4844.24,4844.24
2019-10-11,110.22999999999956,48.73530976813707,4751.852939052581,84.29276872082811,-27.004312422610383,1.9525105963653269,4831.75,4888.44,4826.66,4842.0,4842.0
2019-10-10,-86.89999999999964,43.92233931737578,4732.66542920905,66.62267444335667,-28.491897326063736,0.7796236840932724,4708.95,4778.9,4708.39,4749.27,4749.27
2019-10-09,-110.07999999999993,41.845544239117224,4730.8465002619705,46.171344848858624,-26.18607583051471,1.5077985494977955,4701.48,4735.08,4688.74,4712.53,4712.53
2019-10-08,-104.78000000000065,42.18217661932422,4735.260976073358,19.18183220234419,-16.470688032060934,-2.568154630737264,4715.0,4719.54,4642.19,4642.53,4642.53
2019-10-07,-65.23000000000047,45.02060455509417,4754.067484948839,64.23586490016795,-2.917924620483973,-0.4539728368392893,4774.02,4804.59,4763.99,4764.9,4764.9
2019-10-04,-30.9399999999996,37.91060166567093,4758.462698344646,72.34558686322093,5.864210204831579,1.5905121092431913,4737.42,4789.64,4731.57,4786.63,4786.63
2019-10-03,-166.23000000000047,36.091734799031656,4754.389488589157,40.47724410252908,9.066715437655148,1.409102453176977,4648.34,4714.44,4592.78,4711.69,4711.69
2019-10-02,-248.89999999999964,35.47231638783501,4767.951462214372,9.351685104193441,18.114727757531,-1.5595900699813272,4672.11,4682.0,4617.14,4646.22,4646.22
2019-10-01,-179.05000000000018,40.21847520043616,4795.245172135699,10.885285182490948,28.067091300889842,-1.086619387720894,4800.04,4827.67,4707.91,4719.83,4719.83
2019-09-30,-108.65999999999985,37.69796107419111,4812.524146669213,33.070899833126504,36.313493736018245,0.8434475893798695,4747.6,4786.06,4735.2,4771.68,4771.68
2019-09-27,-170.0,38.63197699579348,4822.128388413164,15.994180822386763,36.37691461804843,-2.1587330470186044,4821.2,4825.48,4694.39,4731.77,4731.77
2019-09-26,-83.36999999999989,47.377464527730965,4843.768023092129,59.12228376651058,46.97965508987818,0.2811755460217683,4825.09,4852.14,4795.32,4836.17,4836.17
2019-09-25,-91.73000000000047,45.574469342769625,4843.492192178074,46.07514812497685,52.43581612354865,1.586161426155007,4730.01,4834.99,4697.41,4822.61,4822.61
2019-09-24,-105.51999999999953,41.96100178538561,4845.920100481074,7.75532268795763,64.30796336843923,-1.7146536428626085,4853.31,4860.73,4728.66,4747.31,4747.31
2019-09-23,-27.519999999999527,54.10049056962471,4864.444011789815,18.545646314309387,80.77590017565126,0.26071235083248195,4810.44,4849.89,4803.98,4830.13,4830.13
2019-09-20,-35.86999999999989,51.85026716267537,4872.034694513333,11.185983827493297,78.8325995660507,-1.2372076622822916,4879.84,4886.55,4798.48,4817.57,4817.57
2019-09-19,27.86999999999989,59.026174024049595,4878.364512808019,44.91213237514332,80.91006325650596,-0.35137034434293374,4904.62,4928.1,4873.31,4877.92,4877.92
2019-09-18,166.1300000000001,75.35868980089725,4869.920176931682,55.29923304547354,76.78956754100363,-0.07675223724606886,4887.84,4897.07,4829.89,4895.12,4895.12
2019-09-17,262.2399999999998,75.52058006354751,4857.015255666236,73.47578240024156,76.96936634916983,0.3798915649319507,4870.73,4901.1,4856.48,4898.88,4898.88
2019-09-16,186.9300000000003,65.80136007574302,4843.943988089906,75.02601456815816,73.2099190988256,-0.43718901539648514,4854.95,4895.81,4843.29,4880.34,4880.34
2019-09-13,223.73000000000047,62.19345950889552,4834.340553899147,81.05295722361285,72.63935736543135,-0.36121263370151535,4920.92,4932.11,4894.9,4901.77,4901.77
2019-09-12,332.75,61.60431804340637,4815.112805147863,86.05056669572791,77.67457594047846,0.10581278462621263,4941.75,4969.14,4908.78,4919.54,4919.54
2019-09-11,332.4899999999998,61.60996028658765,4787.364798868898,99.97738693467333,71.82893517830689,1.267507825330791,4866.33,4914.43,4855.11,4914.34,4914.34
2019-09-10,256.97000000000025,65.45506427593406,4757.076461666642,90.1296752759618,56.87901023795712,-0.09922493386719318,4833.14,4853.68,4803.55,4852.83,4852.83
2019-09-09,312.8799999999992,57.685989170145355,4741.942124346054,91.42106955310244,41.9499426589291,0.0867425990637576,4883.44,4889.67,4833.59,4857.65,4857.65
2019-09-06,148.9399999999996,41.63322068835463,4719.131670239803,92.9298221425616,20.338677961985923,0.06989618663723916,4856.1,4879.08,4833.53,4853.44,4853.44
